event,user_id,timestamp,time_taken_in_ms,auto_completed,auto_completion_count,wpm,numBksp
key_press,2,2021-05-17 20:35:17.082241,197,False,0,,0
key_press,2,2021-05-17 20:35:17.320946,230,False,0,,0
key_press,2,2021-05-17 20:35:17.550833,221,False,0,,0
key_press,2,2021-05-17 20:35:17.648470,88,False,0,,0
key_press,2,2021-05-17 20:35:18.125152,468,False,0,,0
key_press,2,2021-05-17 20:35:19.480481,1345,False,1,,0
word,2,2021-05-17 20:35:19.489318,2596,True,1,,0
key_press,2,2021-05-17 20:35:19.633432,144,False,1,,0
key_press,2,2021-05-17 20:35:19.749538,107,False,1,,0
key_press,2,2021-05-17 20:35:20.043018,285,False,1,,0
word,2,2021-05-17 20:35:20.052032,555,True,1,,0
key_press,2,2021-05-17 20:35:20.336443,285,False,1,,0
key_press,2,2021-05-17 20:35:20.410808,66,False,1,,0
key_press,2,2021-05-17 20:35:20.654945,235,False,1,,0
key_press,2,2021-05-17 20:35:21.069506,405,False,1,,0
key_press,2,2021-05-17 20:35:21.600135,521,False,2,,0
word,2,2021-05-17 20:35:21.609038,1547,True,2,,0
key_press,2,2021-05-17 20:35:21.873485,264,False,2,,0
key_press,2,2021-05-17 20:35:22.012931,130,False,2,,0
key_press,2,2021-05-17 20:35:22.248588,226,False,2,,0
key_press,2,2021-05-17 20:35:22.680282,423,False,2,,0
word,2,2021-05-17 20:35:22.691013,1073,True,2,,0
key_press,2,2021-05-17 20:35:22.839706,149,False,2,,0
key_press,2,2021-05-17 20:35:23.263239,414,False,2,,0
key_press,2,2021-05-17 20:35:23.431286,155,False,2,,0
key_press,2,2021-05-17 20:35:23.782998,343,False,2,,1
key_press,2,2021-05-17 20:35:23.792025,1,False,2,,1
key_press,2,2021-05-17 20:35:23.954749,151,False,2,,2
key_press,2,2021-05-17 20:35:23.979284,1,False,2,,2
key_press,2,2021-05-17 20:35:24.117246,126,False,2,,3
key_press,2,2021-05-17 20:35:24.126212,1,False,2,,3
word,2,2021-05-17 20:35:24.134942,1434,True,2,,3
key_press,2,2021-05-17 20:35:25.236494,1102,False,2,,4
key_press,2,2021-05-17 20:35:25.245767,0,False,2,,4
key_press,2,2021-05-17 20:35:25.745435,491,False,2,,4
word,2,2021-05-17 20:35:25.755280,1612,True,2,,4
key_press,2,2021-05-17 20:35:26.053610,298,False,2,,4
key_press,2,2021-05-17 20:35:26.231540,169,False,2,,4
key_press,2,2021-05-17 20:35:26.620878,380,False,2,,4
key_press,2,2021-05-17 20:35:26.804824,174,False,2,,4
key_press,2,2021-05-17 20:35:27.645261,829,False,2,,4
word,2,2021-05-17 20:35:27.654447,1889,True,2,,4
key_press,2,2021-05-17 20:35:27.896571,242,False,2,,4
key_press,2,2021-05-17 20:35:27.986543,81,False,2,,4
key_press,2,2021-05-17 20:35:28.204053,208,False,2,,4
word,2,2021-05-17 20:35:28.212798,549,True,2,,4
key_press,2,2021-05-17 20:35:28.426779,214,False,2,,4
key_press,2,2021-05-17 20:35:28.673251,238,False,2,,4
key_press,2,2021-05-17 20:35:28.819914,137,False,2,,4
key_press,2,2021-05-17 20:35:28.988352,159,False,2,,4
key_press,2,2021-05-17 20:35:29.303936,307,False,3,,4
word,2,2021-05-17 20:35:29.312513,1091,True,3,,4
key_press,2,2021-05-17 20:35:29.587572,275,False,3,,4
key_press,2,2021-05-17 20:35:29.698805,102,False,3,,4
key_press,2,2021-05-17 20:35:30.043372,335,False,3,,4
key_press,2,2021-05-17 20:35:30.504176,452,False,3,,4
key_press,2,2021-05-17 20:35:31.145108,633,False,4,,4
word,2,2021-05-17 20:35:31.154924,1831,True,4,,4
key_press,2,2021-05-17 20:35:31.613270,459,False,4,,4
key_press,2,2021-05-17 20:35:31.825609,203,False,4,,4
key_press,2,2021-05-17 20:35:32.120654,284,False,4,,4
key_press,2,2021-05-17 20:35:32.597654,468,False,4,,4
key_press,2,2021-05-17 20:35:33.000849,393,False,5,,4
word,2,2021-05-17 20:35:33.010148,1847,True,5,,4
key_press,2,2021-05-17 20:35:33.777273,767,False,5,,4
key_press,2,2021-05-17 20:35:33.897867,111,False,5,,4
key_press,2,2021-05-17 20:35:34.086542,177,False,5,,4
key_press,2,2021-05-17 20:35:34.277829,182,False,5,,4
key_press,2,2021-05-17 20:35:34.712652,425,False,5,,4
key_press,2,2021-05-17 20:35:34.950740,226,False,5,,5
key_press,2,2021-05-17 20:35:34.960421,0,False,5,,5
key_press,2,2021-05-17 20:35:35.104962,134,False,5,,6
key_press,2,2021-05-17 20:35:35.115066,1,False,5,,6
key_press,2,2021-05-17 20:35:35.694797,570,False,5,,6
key_press,2,2021-05-17 20:35:36.071065,368,False,5,,6
key_press,2,2021-05-17 20:35:36.772472,692,False,6,,6
word,2,2021-05-17 20:35:36.782594,3764,True,6,,6
key_press,2,2021-05-17 20:35:37.646699,864,False,6,,6
key_press,2,2021-05-17 20:35:37.767737,112,False,6,,6
key_press,2,2021-05-17 20:35:37.889678,112,False,6,,6
key_press,2,2021-05-17 20:35:38.030957,131,False,6,,6
word,2,2021-05-17 20:35:38.039834,1248,True,6,,6
key_press,2,2021-05-17 20:35:38.376992,337,False,6,,6
key_press,2,2021-05-17 20:35:38.528190,142,False,6,,6
key_press,2,2021-05-17 20:35:38.741587,204,False,6,,6
key_press,2,2021-05-17 20:35:39.298204,547,False,6,,6
key_press,2,2021-05-17 20:35:39.848263,541,False,7,,6
word,2,2021-05-17 20:35:39.858156,1809,True,7,,6
key_press,2,2021-05-17 20:35:40.097518,239,False,7,,6
key_press,2,2021-05-17 20:35:40.372071,264,False,7,,6
key_press,2,2021-05-17 20:35:40.811039,412,False,7,,6
key_press,2,2021-05-17 20:35:40.975960,155,False,7,,6
key_press,2,2021-05-17 20:35:41.314220,330,False,7,,6
sentence,2,2021-05-17 20:35:41.833716,27235,True,8,33.045713236644,6
key_press,2,2021-05-17 20:35:42.815365,973,False,0,,6
key_press,2,2021-05-17 20:35:43.042473,218,False,0,,6
key_press,2,2021-05-17 20:35:43.235992,184,False,0,,6
word,2,2021-05-17 20:35:43.245340,1403,False,0,,6
key_press,2,2021-05-17 20:35:43.466992,221,False,0,,6
key_press,2,2021-05-17 20:35:43.660087,185,False,0,,6
key_press,2,2021-05-17 20:35:43.835163,166,False,0,,6
key_press,2,2021-05-17 20:35:46.231307,2387,False,1,,7
key_press,2,2021-05-17 20:35:46.240923,0,False,1,,7
key_press,2,2021-05-17 20:35:46.639725,390,False,1,,7
key_press,2,2021-05-17 20:35:46.885754,237,False,1,,7
key_press,2,2021-05-17 20:35:47.576265,682,False,1,,7
key_press,2,2021-05-17 20:35:48.617988,1031,False,2,,7
word,2,2021-05-17 20:35:48.627403,5374,True,2,,7
key_press,2,2021-05-17 20:35:48.892684,265,False,2,,7
key_press,2,2021-05-17 20:35:49.081129,180,False,2,,7
key_press,2,2021-05-17 20:35:49.359921,270,False,2,,7
key_press,2,2021-05-17 20:35:49.570864,196,False,2,,7
key_press,2,2021-05-17 20:35:49.961389,382,False,2,,7
key_press,2,2021-05-17 20:35:50.528873,557,False,3,,7
word,2,2021-05-17 20:35:50.537982,1900,True,3,,7
key_press,2,2021-05-17 20:35:50.824030,287,False,3,,7
key_press,2,2021-05-17 20:35:51.058152,225,False,3,,7
key_press,2,2021-05-17 20:35:51.151736,84,False,3,,7
key_press,2,2021-05-17 20:35:51.253511,92,False,3,,7
key_press,2,2021-05-17 20:35:52.149008,887,False,3,,7
key_press,2,2021-05-17 20:35:52.709476,551,False,4,,7
word,2,2021-05-17 20:35:52.719913,2172,True,4,,7
key_press,2,2021-05-17 20:35:53.181698,462,False,4,,7
key_press,2,2021-05-17 20:35:53.321808,130,False,4,,7
key_press,2,2021-05-17 20:35:53.475639,144,False,4,,7
key_press,2,2021-05-17 20:35:53.691141,207,False,4,,7
word,2,2021-05-17 20:35:53.700307,972,True,4,,7
key_press,2,2021-05-17 20:35:54.374853,674,False,4,,7
key_press,2,2021-05-17 20:35:54.535194,150,False,4,,7
key_press,2,2021-05-17 20:35:54.725576,182,False,4,,7
key_press,2,2021-05-17 20:35:54.918090,184,False,4,,7
key_press,2,2021-05-17 20:35:55.214502,288,False,4,,7
key_press,2,2021-05-17 20:35:56.010931,786,False,5,,7
word,2,2021-05-17 20:35:56.020387,2312,True,5,,7
key_press,2,2021-05-17 20:35:56.439897,419,False,5,,7
key_press,2,2021-05-17 20:35:56.672381,223,False,5,,7
key_press,2,2021-05-17 20:35:56.760956,78,False,5,,7
word,2,2021-05-17 20:35:56.770167,742,True,5,,7
key_press,2,2021-05-17 20:35:57.139210,369,False,5,,7
key_press,2,2021-05-17 20:35:57.326735,178,False,5,,7
key_press,2,2021-05-17 20:35:57.480915,145,False,5,,7
key_press,2,2021-05-17 20:35:57.612745,122,False,5,,7
word,2,2021-05-17 20:35:57.622308,843,True,5,,7
key_press,2,2021-05-17 20:35:57.918298,296,False,5,,7
key_press,2,2021-05-17 20:35:58.057329,130,False,5,,7
key_press,2,2021-05-17 20:35:58.256556,190,False,5,,7
key_press,2,2021-05-17 20:35:58.478464,213,False,5,,7
key_press,2,2021-05-17 20:35:58.869388,382,False,5,,7
key_press,2,2021-05-17 20:35:59.188606,309,False,6,,7
word,2,2021-05-17 20:35:59.197806,1566,True,6,,7
key_press,2,2021-05-17 20:35:59.960866,763,False,6,,7
key_press,2,2021-05-17 20:36:00.068320,99,False,6,,7
key_press,2,2021-05-17 20:36:00.465737,387,False,6,,7
key_press,2,2021-05-17 20:36:01.181790,704,False,6,,7
key_press,2,2021-05-17 20:36:01.559747,362,False,7,,7
word,2,2021-05-17 20:36:01.569842,2363,True,7,,7
key_press,2,2021-05-17 20:36:02.856878,1287,False,7,,7
key_press,2,2021-05-17 20:36:03.001588,136,False,7,,7
key_press,2,2021-05-17 20:36:03.219321,209,False,7,,7
word,2,2021-05-17 20:36:03.227954,1648,True,7,,7
key_press,2,2021-05-17 20:36:05.552475,2325,False,7,,7
key_press,2,2021-05-17 20:36:05.748262,187,False,7,,7
key_press,2,2021-05-17 20:36:05.859509,101,False,7,,7
key_press,2,2021-05-17 20:36:05.986874,118,False,7,,7
word,2,2021-05-17 20:36:05.995490,2758,True,7,,7
key_press,2,2021-05-17 20:36:06.270667,275,False,7,,7
key_press,2,2021-05-17 20:36:06.550084,271,False,7,,7
key_press,2,2021-05-17 20:36:06.739458,180,False,7,,7
key_press,2,2021-05-17 20:36:06.946610,197,False,7,,7
key_press,2,2021-05-17 20:36:07.099328,144,False,7,,7
key_press,2,2021-05-17 20:36:07.182914,72,False,7,,7
word,2,2021-05-17 20:36:07.195088,1191,True,7,,7
key_press,2,2021-05-17 20:36:07.320210,125,False,7,,7
key_press,2,2021-05-17 20:36:07.466106,136,False,7,,7
key_press,2,2021-05-17 20:36:07.734788,258,False,7,,7
word,2,2021-05-17 20:36:07.750821,545,True,7,,7
key_press,2,2021-05-17 20:36:08.180634,430,False,7,,7
key_press,2,2021-05-17 20:36:08.399693,210,False,7,,7
key_press,2,2021-05-17 20:36:08.553366,145,False,7,,7
key_press,2,2021-05-17 20:36:08.735901,173,False,7,,7
key_press,2,2021-05-17 20:36:10.245597,1496,False,7,,7
key_press,2,2021-05-17 20:36:11.035180,780,False,8,,7
word,2,2021-05-17 20:36:11.043770,3279,True,8,,7
key_press,2,2021-05-17 20:36:11.230950,187,False,8,,7
key_press,2,2021-05-17 20:36:11.654750,415,False,8,,7
key_press,2,2021-05-17 20:36:11.906476,243,False,8,,7
word,2,2021-05-17 20:36:11.915240,863,True,8,,7
key_press,2,2021-05-17 20:36:12.201111,286,False,8,,7
key_press,2,2021-05-17 20:36:12.494945,285,False,8,,7
key_press,2,2021-05-17 20:36:12.710463,207,False,8,,7
key_press,2,2021-05-17 20:36:12.990240,271,False,8,,7
key_press,2,2021-05-17 20:36:13.524268,525,False,8,,7
key_press,2,2021-05-17 20:36:13.790627,256,False,9,,7
word,2,2021-05-17 20:36:13.800353,1875,True,9,,7
key_press,2,2021-05-17 20:36:14.075177,275,False,9,,7
key_press,2,2021-05-17 20:36:14.279827,195,False,9,,7
key_press,2,2021-05-17 20:36:14.447474,158,False,9,,7
word,2,2021-05-17 20:36:14.456779,647,True,9,,7
key_press,2,2021-05-17 20:36:14.698181,242,False,9,,7
key_press,2,2021-05-17 20:36:15.194010,487,False,9,,7
key_press,2,2021-05-17 20:36:15.661461,455,False,9,,7
key_press,2,2021-05-17 20:36:16.035582,365,False,9,,8
key_press,2,2021-05-17 20:36:16.044218,1,False,9,,8
key_press,2,2021-05-17 20:36:16.145166,93,False,9,,8
key_press,2,2021-05-17 20:36:16.272395,117,False,9,,8
key_press,2,2021-05-17 20:36:16.952965,671,False,9,,8
word,2,2021-05-17 20:36:16.961791,2496,True,9,,8
key_press,2,2021-05-17 20:36:17.915386,954,False,9,,8
key_press,2,2021-05-17 20:36:18.071915,146,False,9,,8
key_press,2,2021-05-17 20:36:18.244596,162,False,9,,8
key_press,2,2021-05-17 20:36:18.394344,141,False,9,,8
key_press,2,2021-05-17 20:36:18.789292,386,False,9,,8
key_press,2,2021-05-17 20:36:19.468857,669,False,10,,8
word,2,2021-05-17 20:36:19.479147,2509,True,10,,8
key_press,2,2021-05-17 20:36:19.787128,308,False,10,,8
key_press,2,2021-05-17 20:36:19.980182,185,False,10,,8
key_press,2,2021-05-17 20:36:20.083649,94,False,10,,8
key_press,2,2021-05-17 20:36:20.264731,172,False,10,,8
word,2,2021-05-17 20:36:20.273941,785,True,10,,8
key_press,2,2021-05-17 20:36:20.635583,362,False,10,,8
key_press,2,2021-05-17 20:36:20.762621,118,False,10,,8
key_press,2,2021-05-17 20:36:21.438807,667,False,10,,8
key_press,2,2021-05-17 20:36:22.037199,590,False,10,,8
key_press,2,2021-05-17 20:36:22.765117,718,False,11,,8
word,2,2021-05-17 20:36:22.774347,2492,True,11,,8
key_press,2,2021-05-17 20:36:23.368078,594,False,11,,8
key_press,2,2021-05-17 20:36:23.698830,320,False,11,,8
key_press,2,2021-05-17 20:36:23.908699,200,False,11,,8
word,2,2021-05-17 20:36:23.918248,1135,True,11,,8
key_press,2,2021-05-17 20:36:24.195383,277,False,11,,8
key_press,2,2021-05-17 20:36:24.476530,271,False,11,,8
key_press,2,2021-05-17 20:36:24.730251,245,False,11,,8
key_press,2,2021-05-17 20:36:24.855229,115,False,11,,8
word,2,2021-05-17 20:36:24.863727,935,True,11,,8
key_press,2,2021-05-17 20:36:25.142395,279,False,11,,8
key_press,2,2021-05-17 20:36:25.682006,531,False,11,,8
key_press,2,2021-05-17 20:36:26.062493,372,False,11,,8
key_press,2,2021-05-17 20:36:26.650782,579,False,11,,8
key_press,2,2021-05-17 20:36:27.052236,392,False,12,,8
word,2,2021-05-17 20:36:27.061817,2189,True,12,,8
key_press,2,2021-05-17 20:36:27.515937,454,False,12,,8
key_press,2,2021-05-17 20:36:27.924446,398,False,12,,8
key_press,2,2021-05-17 20:36:28.117301,185,False,12,,8
key_press,2,2021-05-17 20:36:28.390618,263,False,12,,8
key_press,2,2021-05-17 20:36:28.974861,575,False,12,,8
word,2,2021-05-17 20:36:28.984613,1914,True,12,,8
key_press,2,2021-05-17 20:36:29.761763,777,False,12,,8
key_press,2,2021-05-17 20:36:29.887231,113,False,12,,8
key_press,2,2021-05-17 20:36:30.093692,196,False,12,,8
key_press,2,2021-05-17 20:36:30.648322,543,False,12,,8
key_press,2,2021-05-17 20:36:31.002366,344,False,13,,8
word,2,2021-05-17 20:36:31.011120,2018,True,13,,8
key_press,2,2021-05-17 20:36:31.565833,554,False,13,,8
key_press,2,2021-05-17 20:36:31.782125,208,False,13,,8
key_press,2,2021-05-17 20:36:31.898326,107,False,13,,8
key_press,2,2021-05-17 20:36:32.005215,99,False,13,,8
key_press,2,2021-05-17 20:36:32.132452,119,False,13,,8
key_press,2,2021-05-17 20:36:32.529987,388,False,13,,8
key_press,2,2021-05-17 20:36:33.211958,672,False,14,,8
word,2,2021-05-17 20:36:33.221457,2202,True,14,,8
key_press,2,2021-05-17 20:36:33.665463,444,False,14,,8
key_press,2,2021-05-17 20:36:33.809759,136,False,14,,8
key_press,2,2021-05-17 20:36:34.002282,183,False,14,,8
word,2,2021-05-17 20:36:34.011356,782,True,14,,8
key_press,2,2021-05-17 20:36:34.245360,234,False,14,,8
key_press,2,2021-05-17 20:36:34.403723,149,False,14,,8
key_press,2,2021-05-17 20:36:34.511882,99,False,14,,8
key_press,2,2021-05-17 20:36:34.658019,137,False,14,,8
word,2,2021-05-17 20:36:34.667760,647,True,14,,8
key_press,2,2021-05-17 20:36:35.259678,592,False,14,,8
key_press,2,2021-05-17 20:36:35.362833,94,False,14,,8
key_press,2,2021-05-17 20:36:35.525538,148,False,14,,8
key_press,2,2021-05-17 20:36:36.006792,472,False,14,,8
key_press,2,2021-05-17 20:36:36.302701,287,False,15,,8
word,2,2021-05-17 20:36:36.311814,1635,True,15,,8
key_press,2,2021-05-17 20:36:36.598241,287,False,15,,8
key_press,2,2021-05-17 20:36:36.728187,121,False,15,,8
key_press,2,2021-05-17 20:36:36.924750,188,False,15,,8
word,2,2021-05-17 20:36:36.933267,613,True,15,,8
key_press,2,2021-05-17 20:36:37.208437,275,False,15,,8
key_press,2,2021-05-17 20:36:37.385877,166,False,15,,8
key_press,2,2021-05-17 20:36:37.516754,121,False,15,,8
key_press,2,2021-05-17 20:36:37.690957,164,False,15,,8
word,2,2021-05-17 20:36:37.699989,757,True,15,,8
key_press,2,2021-05-17 20:36:38.033591,334,False,15,,8
key_press,2,2021-05-17 20:36:38.191940,149,False,15,,8
key_press,2,2021-05-17 20:36:38.298631,97,False,15,,8
key_press,2,2021-05-17 20:36:39.730899,1423,False,15,,8
key_press,2,2021-05-17 20:36:40.507074,768,False,16,,8
word,2,2021-05-17 20:36:40.516783,2808,True,16,,8
key_press,2,2021-05-17 20:36:40.638801,122,False,16,,8
key_press,2,2021-05-17 20:36:40.799311,152,False,16,,8
key_press,2,2021-05-17 20:36:40.939121,131,False,16,,8
key_press,2,2021-05-17 20:36:41.089590,141,False,16,,8
word,2,2021-05-17 20:36:41.098829,573,True,16,,8
key_press,2,2021-05-17 20:36:41.408472,310,False,16,,8
key_press,2,2021-05-17 20:36:41.552519,135,False,16,,8
key_press,2,2021-05-17 20:36:41.729535,167,False,16,,8
key_press,2,2021-05-17 20:36:42.243676,504,False,16,,8
key_press,2,2021-05-17 20:36:42.702512,449,False,17,,8
word,2,2021-05-17 20:36:42.711351,1604,True,17,,8
key_press,2,2021-05-17 20:36:43.305674,594,False,17,,8
key_press,2,2021-05-17 20:36:43.430883,116,False,17,,8
key_press,2,2021-05-17 20:36:43.569171,130,False,17,,8
word,2,2021-05-17 20:36:43.578230,858,True,17,,8
key_press,2,2021-05-17 20:36:43.798691,220,False,17,,8
key_press,2,2021-05-17 20:36:44.005308,198,False,17,,8
key_press,2,2021-05-17 20:36:44.154155,139,False,17,,8
key_press,2,2021-05-17 20:36:44.807390,645,False,17,,8
word,2,2021-05-17 20:36:44.816476,1229,True,17,,8
key_press,2,2021-05-17 20:36:45.230047,414,False,17,,8
key_press,2,2021-05-17 20:36:45.379274,140,False,17,,8
key_press,2,2021-05-17 20:36:45.646456,258,False,17,,8
key_press,2,2021-05-17 20:36:46.125720,469,False,17,,8
key_press,2,2021-05-17 20:36:46.626684,491,False,18,,8
word,2,2021-05-17 20:36:46.636232,1812,True,18,,8
key_press,2,2021-05-17 20:36:47.118218,482,False,18,,8
key_press,2,2021-05-17 20:36:47.264666,137,False,18,,8
key_press,2,2021-05-17 20:36:47.481124,208,False,18,,8
key_press,2,2021-05-17 20:36:47.894495,404,False,18,,9
key_press,2,2021-05-17 20:36:47.905565,0,False,18,,9
key_press,2,2021-05-17 20:36:48.006410,90,False,18,,9
key_press,2,2021-05-17 20:36:48.132114,109,False,18,,9
key_press,2,2021-05-17 20:36:48.703970,562,False,18,,9
sentence,2,2021-05-17 20:36:49.482395,67640,True,19,34.5949142519219,9
